title,level,constant
Air,MAS,14.5
Akasagarbha -reincarnate-,MAS,14.5
Blue Noise,MAS,14.5
CELERITAS,MAS,14.5
Dèfandour,MAS,14.5
Destr0yer,MAS,14.5
Dreadnought,MAS,14.5
Elemental Creation,MAS,14.5
Genesis,MAS,14.5
IMPACT,MAS,14.5
J219,MAS,14.5
luna blu,MAS,14.5
MuseDashを作っているPeroPeroGamesさんが倒産しちゃったよ～,MAS,14.5
Name of oath,MAS,14.5
NightTheater,MAS,14.5
Overhea[r]t,MAS,14.5
Philosopher,MAS,14.5
Qliphothgear,MAS,14.5
SUPER AMBULANCE,MAS,14.5
Tango Rouge,MAS,14.5
TECHNOPOLIS 2085,MAS,14.5
U ARE,MAS,14.5
Valsqotch,MAS,14.5
Wildfire,MAS,14.5
XL TECHNO -More Dance Remix-,MAS,14.5
ZEUS,MAS,14.5
暗晦にハイライト,MAS,14.5
おしゃまなプリンセス,MAS,14.5
管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,MAS,14.5
ソーシャルワンダーランド,MAS,14.5
初音ミクの消失,MAS,14.5
星の器～STAR OF ANDROMEDA,MAS,14.5
めっちゃ煽ってくるタイプの音ゲーボス曲ちゃんなんかに負けないが？？？？？,MAS,14.5
Alcyone,MAS,14.6
Aragami,MAS,14.6
CITRUS MONSTER,MAS,14.6
[CRYSTAL_ACCESS],MAS,14.6
Desperado Waltz,MAS,14.6
GERBERA,MAS,14.6
"Good bye, Merry-Go-Round.",MAS,14.6
Halcyon,MAS,14.6
PUPA,MAS,14.6
Spasmodic,MAS,14.6
VALLIS-NERIA,MAS,14.6
Walzer für das Nichts,MAS,14.6
WE'RE BACK!!,MAS,14.6
ウニの歌,MAS,14.6
極圏,MAS,14.6
空間創造理論,MAS,14.6
《自戒》 ～ Paganelope,MAS,14.6
ジングルベル,MAS,14.6
閃鋼のブリューナク,MAS,14.6
†大闘士＝クライン・フォーゲル・シュピール＝えりか†,MAS,14.6
ハードコア・シンドローム,MAS,14.6
花と、雪と、ドラムンベース。,MAS,14.6
刃渡り2億センチ(TV edit),MAS,14.6
《本能》 ～ ReCoda,MAS,14.6
本物のヒーローとの戦い,MAS,14.6
ミュージック・リボルバー,MAS,14.6
超熊猫的周遊記（ワンダーパンダートラベラー）,MAS,14.6
Ai C,MAS,14.7
AXION,MAS,14.7
B100d Hunter,MAS,14.7
BLUE ZONE,MAS,14.7
deadeye,MAS,14.7
Everlasting Liberty,MAS,14.7
FLUFFY FLASH,MAS,14.7
folern,MAS,14.7
Fracture Ray,MAS,14.7
Gate of Fate,MAS,14.7
G e n g a o z o,MAS,14.7
GEOMETRIC DANCE,MAS,14.7
GOLDEN RULE,MAS,14.7
Imperishable Night 2006 (2016 Refine),MAS,14.7
larva,MAS,14.7
Last Celebration,MAS,14.7
LiftOff,MAS,14.7
Nhelv,MAS,14.7
Parad'ox,MAS,14.7
Sage,MAS,14.7
Scarlet Lance,MAS,14.7
Sparking Revolver,MAS,14.7
VERTeX,MAS,14.7
ウルガレオン,MAS,14.7
色彩過剰のダイアリーミュージック,MAS,14.7
田中,MAS,14.7
月の光,MAS,14.7
4月1日でございました,MAS,14.8
8-EM,MAS,14.8
Ai Nov,MAS,14.8
Alea jacta est!,MAS,14.8
ÅMARA (大未来電脳),MAS,14.8
AMAZING MIGHTYYYY!!!!,MAS,14.8
Blessed Rain,MAS,14.8
BUCHiGiRE Berserker,MAS,14.8
Burn it All,MAS,14.8
Calamity Fortune,MAS,14.8
Crimson Phoenix,MAS,14.8
Cthugha,MAS,14.8
Everlasting Today,MAS,14.8
Excalibur ～Revived resolution～,MAS,14.8
Grievous Lady,MAS,14.8
L'épisode,MAS,14.8
Malleus Maleficarum,MAS,14.8
MEGATON BLAST,MAS,14.8
Oracle,MAS,14.8
ouroboros -twin stroke of the end-,MAS,14.8
Paqqin (tpz Despair Remix),MAS,14.8
Sound Chimera,MAS,14.8
Tuk Tuk Boshi,MAS,14.8
Vallista,MAS,14.8
エータ・ベータ・イータ,MAS,14.8
スピカの天秤,MAS,14.8
初音天地開闢神話,MAS,14.8
初音ミクの激唱,MAS,14.8
Adverse Gaff,MAS,14.9
Aleph-0,MAS,14.9
AttraqtiA,MAS,14.9
BATTLE NO.1,MAS,14.9
Caliburne ～Story of the Legendary sword～,MAS,14.9
Chronomia,MAS,14.9
Don't Fight The Music,MAS,14.9
Doppelganger,MAS,14.9
eden,MAS,14.9
Elemental Ethnic,MAS,14.9
Exitium,MAS,14.9
Gate of Doom,MAS,14.9
Hainuwele,MAS,14.9
Igallta,MAS,14.9
Kattobi KEIKYU Rider,MAS,14.9
Lemegeton -little key of solomon-,MAS,14.9
Longinus,MAS,14.9
Sheriruth,MAS,14.9
SINister Evolution,MAS,14.9
Stargazing Dreamer,MAS,14.9
#SUP3RORBITAL,MAS,14.9
Superbia,MAS,14.9
Surrogate Life,MAS,14.9
the EmpErroR,MAS,14.9
Trackless wilderness,MAS,14.9
Yakumo >>JOINT STRUGGLE (2019 Update),MAS,14.9
Yorugao,MAS,14.9
うたかたのせかいで,MAS,14.9
オンソクデイズ!!,MAS,14.9
幻想ロードオブキング,MAS,14.9
真千年女王,MAS,14.9
水晶世界 ～Fracture～,MAS,14.9
竹,MAS,14.9
とあちゃんのおもちゃ箱,MAS,14.9
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,MAS,14.9
ヒュブリスの頂に聳えるのは,MAS,14.9
盟月,MAS,14.9
夕焼けのRed Parade,MAS,14.9
雷切-RAIKIRI-,MAS,14.9
Aiolos,MAS,15
Angel dust,MAS,15
Ascension to Heaven,MAS,15
AstrøNotes.,MAS,15
Blackmagik Blazing,MAS,15
Blazing:Storm,MAS,15
Climax,MAS,15
Cult future,MAS,15
Devastating Blaster,MAS,15
Falsum Atlantis.,MAS,15
FREEDOM DiVE,MAS,15
Garakuta Doll Play,MAS,15
Glorious Crown (tpz over-Over-OVERCUTE REMIX),MAS,15
HERA,MAS,15
Iudicium,MAS,15
MARENOL,MAS,15
Megameteor,MAS,15
neu,MAS,15
Opfer,MAS,15
QZKago Requiem,MAS,15
Synthesis.,MAS,15
TEmPTaTiON,MAS,15
Titania,MAS,15
Wizdomiot,MAS,15
宛城、炎上！！,MAS,15
エンドマークに希望と涙を添えて,MAS,15
神威 (NAOKI × ZPP MIX),MAS,15
"≠彡""/了→",MAS,15
電光石火,MAS,15
封焔の135秒,MAS,15
ホーリーサンバランド,MAS,15
A Man In The Mirror,MAS,15.1
Armageddon,MAS,15.1
A Site De La Rue,MAS,15.1
Big Bang,MAS,15.1
End Time,MAS,15.1
GIGA BLAST,MAS,15.1
GIGA DRIVE,MAS,15.1
Giselle,MAS,15.1
Latent Kingdom,MAS,15.1
Love & Justice,MAS,15.1
Mutation,MAS,15.1
Odin,MAS,15.1
Re：End of a Dream,MAS,15.1
Rrhar'il,MAS,15.1
Schrecklicher Aufstand,MAS,15.1
Singularity,MAS,15.1
Surveiller et punir,MAS,15.1
Tempestissimo,MAS,15.1
Viyella's Scream,MAS,15.1
Viyella's Tears,MAS,15.1
Xevel,MAS,15.1
YURUSHITE,MAS,15.1
アポカリプスに反逆の焔を焚べろ,MAS,15.1
神威,MAS,15.1
幻想即興曲,MAS,15.1
小悪魔の遊園地,MAS,15.1
赤壁、大炎上！！,MAS,15.1
"《創造》 ～ Cries, beyond The End",MAS,15.1
其のエメラルドを見よ,MAS,15.1
チューリングの跡,MAS,15.1
脳天直撃,MAS,15.1
マシンガンポエムドール,MAS,15.1
黎命に殉ず,MAS,15.1
Contrapasso -inferno-,MAS,15.2
Dengeki Tube,MAS,15.2
ENDYMION,MAS,15.2
Finite,MAS,15.2
HAELEQUIN (Original Remaster),MAS,15.2
Invisible Frenzy,MAS,15.2
LibrariA,MAS,15.2
★LittlE HearTs★,MAS,15.2
MarbleBlue.,MAS,15.2
MeteorSnow,MAS,15.2
ΩΩPARTS,MAS,15.2
otorii INNOVATED -[i]3-,MAS,15.2
Reverberate,MAS,15.2
Scythe of Death,MAS,15.2
The Devil Incarnate,MAS,15.2
ZegalltA,MAS,15.2
蜘蛛の糸,MAS,15.2
《破滅》 ～ Rhapsody for The End,MAS,15.2
雪男,MAS,15.2
ANU,MAS,15.3
Disruptor Array,MAS,15.3
Killing Rhythm,MAS,15.3
LAMIA,MAS,15.3
parvorbital,MAS,15.3
POTENTIAL,MAS,15.3
sølips,MAS,15.3
Stardust:RAY,MAS,15.3
Strange Love,MAS,15.3
TiamaT:F minor,MAS,15.3
Trrricksters!!,MAS,15.3
What's up? Pop!,MAS,15.3
X7124,MAS,15.3
玩具狂奏曲 -終焉-,MAS,15.3
リ・フィクション・O,MAS,15.3
Acid God,MAS,15.4
βlαnoir,MAS,15.4
macrocosmos,MAS,15.4
Rebellion,MAS,15.4
怒槌,MAS,15.4
宿星審判,MAS,15.4
Λzure Vixen,MAS,15.5
Makear,MAS,15.5
To：Be Continued,MAS,15.5
Tuatha Dé Danann,MAS,15.5
World Vanquisher,MAS,15.5
混沌を越えし我らが神聖なる調律主を讃えよ,MAS,15.5
ピアノ協奏曲第１番”蠍火”,MAS,15.5
ラストピースに祝福と栄光を,MAS,15.5
Chaotic Ørder,MAS,15.6
DA'AT -The First Seeker of Souls-,MAS,15.6
Daphnis,MAS,15.6
MALKUTH -The Last Ruler of Terrestrials-,MAS,15.6
Ultimate Force,MAS,15.6
グラウンドスライダー協奏曲第一番「風唄」,MAS,15.6
業 -善なる神とこの世の悪について-,MAS,15.6
Forsaken Tale,MAS,15.7
The Metaverse -First story of the SeelischTact-,MAS,15.7
祈 -我ら神祖と共に歩む者なり-,MAS,15.7
最終鬼畜妹フランドール・S,ULT,14.5
メズマライザー,ULT,14.5
アルストロメリア,ULT,14.6
Evans,ULT,14.7
腐れ外道とチョコレゐト,ULT,14.8
Dreadnought,ULT,14.8
猛進ソリストライフ！,ULT,14.8
骸骨楽団とリリア,ULT,14.8
Lapis,ULT,14.9
魔理沙は大変なものを盗んでいきました,ULT,14.9
We Gonna Journey,ULT,14.9
Gustav Battle,ULT,14.9
PRIVATE SERVICE,ULT,14.9
JIGOKU STATION CENTRAL GATE,ULT,14.9
サドマミホリック,ULT,14.9
taboo tears you up,ULT,15
L9,ULT,15
ジングルベル,ULT,15
脳漿炸裂ガール,ULT,15
Oshama Scramble!,ULT,15
Gate of Fate,ULT,15.1
Halcyon,ULT,15.1
患部で止まってすぐ溶ける～狂気の優曇華院,ULT,15.1
Elemental Creation,ULT,15.1
Vampire,ULT,15.1
BlythE,ULT,15.1
SON OF SUN,ULT,15.1
Air,ULT,15.2
Theatore Creatore,ULT,15.3
Aleph-0,ULT,15.4